Tube Station,Longitude,Latitude
Barkingside Underground Station,0.088585,51.585689
Buckhurst Hill Underground Station,0.046757,51.626605
Bethnal Green Underground Station,-0.055506,51.527222
Bond Street Underground Station,-0.149723,51.514304
Bank Underground Station,-0.088712,51.513335
Chancery Lane Underground Station,-0.111583,51.518247
Chigwell Underground Station,0.075041,51.617916
Debden Underground Station,0.083782,51.645386
East Acton Underground Station,-0.247248,51.516612
Ealing Broadway Underground Station,-0.301457,51.515017
Epping Underground Station,0.113767,51.69368
Fairlop Underground Station,0.091004,51.595618
Greenford Underground Station,-0.34605,51.542424
Grange Hill Underground Station,0.092066,51.613378
Gants Hill Underground Station,0.066185,51.576544
Holborn Underground Station,-0.120475,51.51758
Hanger Lane Underground Station,-0.292704,51.530177
Hainault Underground Station,0.093482,51.603659
Holland Park Underground Station,-0.205679,51.507143
Loughton Underground Station,0.055476,51.641443
Lancaster Gate Underground Station,-0.175494,51.511723
Liverpool Street Underground Station,-0.083182,51.517372
Leyton Underground Station,-0.005523,51.556589
Leytonstone Underground Station,0.008194,51.568324
Marble Arch Underground Station,-0.158953,51.513424
Mile End Underground Station,-0.03364,51.525122
North Acton Underground Station,-0.259755,51.523524
Newbury Park Underground Station,0.090004,51.575726
Notting Hill Gate Underground Station,-0.196104,51.509128
Northolt Underground Station,-0.368699,51.548236
Oxford Circus Underground Station,-0.141903,51.515224
Perivale Underground Station,-0.323446,51.536717
Queensway Underground Station,-0.187152,51.510312
Redbridge Underground Station,0.04536,51.576243
Ruislip Gardens Underground Station,-0.41071,51.560736
Roding Valley Underground Station,0.043647,51.617199
Shepherd's Bush (Central) Underground Station,-0.218813,51.504376
Snaresbrook Underground Station,0.02144,51.580678
St. Paul's Underground Station,-0.097567,51.514936
South Ruislip Underground Station,-0.398915,51.556853
Stratford Underground Station,-0.003458,51.541806
South Woodford Underground Station,0.027338,51.591907
Tottenham Court Road Underground Station,-0.13041,51.516426
Theydon Bois Underground Station,0.103085,51.671759
White City Underground Station,-0.224297,51.511959
Woodford Underground Station,0.03397,51.606899
West Ruislip Underground Station,-0.437886,51.569688
Wanstead Underground Station,0.028527,51.575501
West Acton Underground Station,-0.28098,51.518001
