Tube Station,Longitude,Latitude
Acton Town Underground Station,-0.280462,51.503057
Aldgate East Underground Station,-0.072384,51.515037
Bromley-by-Bow Underground Station,-0.011538,51.524839
Becontree Underground Station,0.127016,51.540331
Blackfriars Underground Station,-0.103659,51.511581
Barking Underground Station,0.081053,51.539321
Barons Court Underground Station,-0.213427,51.490311
Bow Road Underground Station,-0.025128,51.52694
Bayswater Underground Station,-0.187938,51.512284
Cannon Street Underground Station,-0.090432,51.51151
Chiswick Park Underground Station,-0.267972,51.494627
Dagenham East Underground Station,0.166017,51.544096
Dagenham Heathway Underground Station,0.147527,51.541639
Ealing Broadway Underground Station,-0.301457,51.515017
Ealing Common Underground Station,-0.288265,51.51014
Earl's Court Underground Station,-0.193378,51.492063
East Ham Underground Station,0.051186,51.538948
Embankment Underground Station,-0.122666,51.507058
Elm Park Underground Station,0.19864,51.549775
East Putney Underground Station,-0.211,51.459205
Edgware Road (Circle Line) Underground Station,-0.167832,51.519858
Fulham Broadway Underground Station,-0.195422,51.480081
Gunnersbury Underground Station,-0.275267,51.491803
Gloucester Road Underground Station,-0.182658,51.494316
Hornchurch Underground Station,0.219116,51.554093
Hammersmith (Dist&Picc Line) Underground Station,-0.22362,51.4923
High Street Kensington Underground Station,-0.192792,51.501055
Kensington (Olympia) Underground Station,-0.210015,51.497624
Kew Gardens Underground Station,-0.285241,51.477058
Mile End Underground Station,-0.03364,51.525122
Monument Underground Station,-0.085969,51.5107
Mansion House Underground Station,-0.094009,51.512117
Notting Hill Gate Underground Station,-0.196104,51.509128
Paddington Underground Station,-0.175689,51.516581
Plaistow Underground Station,0.017451,51.531341
Parsons Green Underground Station,-0.20117,51.475277
Putney Bridge Underground Station,-0.208731,51.468262
Richmond Underground Station,-0.301336,51.463237
Ravenscourt Park Underground Station,-0.235881,51.494122
Stamford Brook Underground Station,-0.245704,51.494917
Southfields Underground Station,-0.206602,51.445073
Stepney Green Underground Station,-0.046596,51.521858
St. James's Park Underground Station,-0.133608,51.499544
South Kensington Underground Station,-0.174138,51.494094
Sloane Square Underground Station,-0.156377,51.49227
Temple Underground Station,-0.11426,51.511006
Turnham Green Underground Station,-0.254555,51.495148
Tower Hill Underground Station,-0.076546,51.509971
Upminster Bridge Underground Station,0.235809,51.55856
Upton Park Underground Station,0.035263,51.53534
Upminster Underground Station,0.250882,51.559063
Upney Underground Station,0.10153,51.538372
Victoria Underground Station,-0.143102,51.496359
West Brompton Underground Station,-0.195599,51.487268
West Ham Underground Station,0.005055,51.528136
Wimbledon Underground Station,-0.206573,51.421207
Wimbledon Park Underground Station,-0.199719,51.434573
West Kensington Underground Station,-0.206636,51.490459
Whitechapel Underground Station,-0.059971,51.519518
Westminster Underground Station,-0.124861,51.50132
