Tube Station,Longitude,Latitude
Bermondsey Underground Station,-0.063993,51.49775
Tube Station,Longitude,Latitude
Bond Street Underground Station,-0.149723,51.514304
Tube Station,Longitude,Latitude
Baker Street Underground Station,-0.15713,51.522883
Tube Station,Longitude,Latitude
Canning Town Underground Station,0.008322,51.513584
Tube Station,Longitude,Latitude
Canons Park Underground Station,-0.294693,51.607701
Tube Station,Longitude,Latitude
Canada Water Underground Station,-0.049405,51.497931
Tube Station,Longitude,Latitude
Canary Wharf Underground Station,-0.018246,51.503488
Tube Station,Longitude,Latitude
Dollis Hill Underground Station,-0.239068,51.551955
Tube Station,Longitude,Latitude
Finchley Road Underground Station,-0.179845,51.546825
Tube Station,Longitude,Latitude
Green Park Underground Station,-0.142787,51.506947
Tube Station,Longitude,Latitude
Kilburn Underground Station,-0.204248,51.547183
Tube Station,Longitude,Latitude
Kingsbury Underground Station,-0.27879,51.584845
Tube Station,Longitude,Latitude
London Bridge Underground Station,-0.088873,51.505721
Tube Station,Longitude,Latitude
Neasden Underground Station,-0.249837,51.553986
Tube Station,Longitude,Latitude
North Greenwich Underground Station,0.004287,51.50047
Tube Station,Longitude,Latitude
Queensbury Underground Station,-0.286219,51.594188
Tube Station,Longitude,Latitude
St. John's Wood Underground Station,-0.173948,51.534521
Tube Station,Longitude,Latitude
Stratford Underground Station,-0.003458,51.541806
Tube Station,Longitude,Latitude
Stanmore Underground Station,-0.303266,51.619839
Tube Station,Longitude,Latitude
Swiss Cottage Underground Station,-0.174894,51.543681
Tube Station,Longitude,Latitude
Southwark Underground Station,-0.105331,51.50427
Tube Station,Longitude,Latitude
West Ham Underground Station,0.005055,51.528136
Tube Station,Longitude,Latitude
West Hampstead Underground Station,-0.191059,51.546638
Tube Station,Longitude,Latitude
Willesden Green Underground Station,-0.221537,51.549146
Tube Station,Longitude,Latitude
Waterloo Underground Station,-0.11478,51.503299
Tube Station,Longitude,Latitude
Westminster Underground Station,-0.124861,51.50132
Tube Station,Longitude,Latitude
Wembley Park Underground Station,-0.279262,51.563198
