Station,Latitude,Longitude
Aldgate Underground Station,51.514246,-0.075689
Amersham Underground Station,51.674126,-0.607714
Barbican Underground Station,51.520275,-0.097993
Baker Street Underground Station,51.522883,-0.15713
Chalfont & Latimer Underground Station,51.667985,-0.560689
Chesham Underground Station,51.705208,-0.611247
Croxley Underground Station,51.647044,-0.441718
Chorleywood Underground Station,51.654358,-0.518461
Eastcote Underground Station,51.576506,-0.397373
Euston Square Underground Station,51.525604,-0.135829
Farringdon Underground Station,51.520252,-0.104913
Finchley Road Underground Station,51.546825,-0.179845
Great Portland Street Underground Station,51.52384,-0.144262
Hillingdon Underground Station,51.553715,-0.449828
Harrow-on-the-Hill Underground Station,51.579195,-0.337225
Ickenham Underground Station,51.561992,-0.442001
King's Cross St. Pancras Underground Station,51.530663,-0.123194
Liverpool Street Underground Station,51.517372,-0.083182
Moorgate Underground Station,51.518176,-0.088322
Moor Park Underground Station,51.629845,-0.432454
North Harrow Underground Station,51.584872,-0.362408
Northwick Park Underground Station,51.578481,-0.318056
Northwood Underground Station,51.611053,-0.423829
Northwood Hills Underground Station,51.600572,-0.409464
Pinner Underground Station,51.592901,-0.381161
Preston Road Underground Station,51.571972,-0.295107
Rickmansworth Underground Station,51.640207,-0.473703
Ruislip Manor Underground Station,51.573202,-0.412973
Ruislip Underground Station,51.571354,-0.421898
Rayners Lane Underground Station,51.575147,-0.371127
Uxbridge Underground Station,51.546565,-0.477949
Watford Underground Station,51.657446,-0.417377
West Harrow Underground Station,51.57971,-0.3534
Willesden Green Underground Station,51.549146,-0.221537
Wembley Park Underground Station,51.563198,-0.279262
