Tube Station,Longitude,Latitude
Blackhorse Road Underground Station,-0.04115,51.586919
Tube Station,Longitude,Latitude
Brixton Underground Station,-0.114888,51.462618
Tube Station,Longitude,Latitude
Euston Underground Station,-0.131846,51.527824
Tube Station,Longitude,Latitude
Finsbury Park Underground Station,-0.106825,51.564158
Tube Station,Longitude,Latitude
Green Park Underground Station,-0.142787,51.506947
Tube Station,Longitude,Latitude
Highbury & Islington Underground Station,-0.103324,51.54635
Tube Station,Longitude,Latitude
King's Cross St. Pancras Underground Station,-0.123194,51.530663
Tube Station,Longitude,Latitude
Oxford Circus Underground Station,-0.141903,51.515224
Tube Station,Longitude,Latitude
Pimlico Underground Station,-0.133761,51.489097
Tube Station,Longitude,Latitude
Stockwell Underground Station,-0.122644,51.472184
Tube Station,Longitude,Latitude
Seven Sisters Underground Station,-0.072584,51.58333
Tube Station,Longitude,Latitude
Tottenham Hale Underground Station,-0.060241,51.588108
Tube Station,Longitude,Latitude
Victoria Underground Station,-0.143102,51.496359
Tube Station,Longitude,Latitude
Vauxhall Underground Station,-0.124204,51.485743
Tube Station,Longitude,Latitude
Warren Street Underground Station,-0.138321,51.524951
Tube Station,Longitude,Latitude
Walthamstow Central Underground Station,-0.019885,51.582965
